#SSL or TLS cipher suites names         #OpenSSL equivalents #encryptions-strength(w[eak],m[edium],s[trong])
#SSL v3.0 cipher suites.
SSL_RSA_WITH_NULL_MD5                   NULL-MD5 weak ssl.PROTOCOL_SSLv3
SSL_RSA_WITH_NULL_SHA                   NULL-SHA weak ssl.PROTOCOL_SSLv3
SSL_RSA_EXPORT_WITH_RC4_40_MD5          EXP-RC4-MD5 weak ssl.PROTOCOL_SSLv3
SSL_RSA_WITH_RC4_128_MD5                RC4-MD5 weak ssl.PROTOCOL_SSLv3
SSL_RSA_WITH_RC4_128_SHA                RC4-SHA weak ssl.PROTOCOL_SSLv3
SSL_RSA_EXPORT_WITH_RC2_CBC_40_MD5      EXP-RC2-CBC-MD5 weak ssl.PROTOCOL_SSLv3
SSL_RSA_WITH_IDEA_CBC_SHA               IDEA-CBC-SHA medium ssl.PROTOCOL_SSLv3
SSL_RSA_EXPORT_WITH_DES40_CBC_SHA       EXP-DES-CBC-SHA weak ssl.PROTOCOL_SSLv3
SSL_RSA_WITH_DES_CBC_SHA                DES-CBC-SHA weak ssl.PROTOCOL_SSLv3
SSL_RSA_WITH_3DES_EDE_CBC_SHA           DES-CBC3-SHA strong ssl.PROTOCOL_SSLv3

SSL_DH_DSS_EXPORT_WITH_DES40_CBC_SHA    EXP-DH-DSS-DES-CBC-SHA weak ssl.PROTOCOL_SSLv3
SSL_DH_DSS_WITH_DES_CBC_SHA             DH-DSS-DES-CBC-SHA weak ssl.PROTOCOL_SSLv3
SSL_DH_DSS_WITH_3DES_EDE_CBC_SHA        DH-DSS-DES-CBC3-SHA strong ssl.PROTOCOL_SSLv3
SSL_DH_RSA_EXPORT_WITH_DES40_CBC_SHA    EXP-DH-RSA-DES-CBC-SHA weak ssl.PROTOCOL_SSLv3
SSL_DH_RSA_WITH_DES_CBC_SHA             DH-RSA-DES-CBC-SHA weak ssl.PROTOCOL_SSLv3
SSL_DH_RSA_WITH_3DES_EDE_CBC_SHA        DH-RSA-DES-CBC3-SHA medium ssl.PROTOCOL_SSLv3
SSL_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA   EXP-EDH-DSS-DES-CBC-SHA weak ssl.PROTOCOL_SSLv3
SSL_DHE_DSS_WITH_DES_CBC_SHA            EDH-DSS-CBC-SHA medium ssl.PROTOCOL_SSLv3
SSL_DHE_DSS_WITH_3DES_EDE_CBC_SHA       EDH-DSS-DES-CBC3-SHA strong ssl.PROTOCOL_SSLv3
SSL_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA   EXP-EDH-RSA-DES-CBC-SHA weak ssl.PROTOCOL_SSLv3
SSL_DHE_RSA_WITH_DES_CBC_SHA            EDH-RSA-DES-CBC-SHA weak ssl.PROTOCOL_SSLv3
SSL_DHE_RSA_WITH_3DES_EDE_CBC_SHA       EDH-RSA-DES-CBC3-SHA medium ssl.PROTOCOL_SSLv3

SSL_DH_anon_EXPORT_WITH_RC4_40_MD5      EXP-ADH-RC4-MD5 weak ssl.PROTOCOL_SSLv3
